Series,Surface,Round,dj_pts,dj_rank,opp_pts,opp_rank,dj_win,age,is_outdoor,is_five_sets,5SMA
Masters,Hard,2nd Round,4945,3,519,82,1,21,1,0,0.8
Masters,Hard,3rd Round,4945,3,815,49,1,21,1,0,0.6
Masters,Hard,Quarterfinals,4945,3,1730,9,0,21,1,0,0.6
Masters,Hard,2nd Round,5055,3,815,50,1,21,1,0,0.6
Masters,Hard,3rd Round,5055,3,895,39,1,21,1,0,0.6
Masters,Hard,Quarterfinals,5055,3,782,53,1,21,1,0,0.6
Masters,Hard,Semifinals,5055,3,6305,2,1,21,1,0,0.8
Masters,Hard,The Final,5055,3,1835,9,0,21,1,0,0.8
Grand Slam,Hard,1st Round,5105,3,555,78,1,21,1,1,0.8
Grand Slam,Hard,2nd Round,5105,3,433,113,1,21,1,1,0.8
Grand Slam,Hard,3rd Round,5105,3,1145,24,1,21,1,1,0.8
Grand Slam,Hard,4th Round,5105,3,1360,15,1,21,1,1,0.8
Grand Slam,Hard,Quarterfinals,5105,3,1845,8,1,21,1,1,0.8
Grand Slam,Hard,Semifinals,5105,3,5930,2,0,21,1,1,0.8
International,Hard,2nd Round,4855,3,317,141,1,21,0,0,1.0
International,Hard,Quarterfinals,4855,3,965,34,1,21,0,0,0.8
International,Hard,Semifinals,4855,3,1065,27,1,21,0,0,0.8
International,Hard,The Final,4855,3,1250,20,0,21,0,0,0.8
Masters,Hard,3rd Round,4725,3,1215,21,0,21,0,0,0.8
Masters,Carpet,3rd Round,4575,3,1485,14,0,21,0,0,0.6
Masters Cup,Hard,Round Robin,4645,3,1845,8,1,21,0,0,0.6
Masters Cup,Hard,Round Robin,4645,3,2315,5,1,21,0,0,0.4
Masters Cup,Hard,Round Robin,4645,3,1950,7,0,21,0,0,0.4
Masters Cup,Hard,Semifinals,4645,3,1780,9,1,21,0,0,0.4
Masters Cup,Hard,The Final,4645,3,2315,5,1,21,0,0,0.4
ATP250,Hard,1st Round,10590,3,1408,53,0,22,1,0,0.6
ATP250,Hard,2nd Round,10590,3,2000,29,1,22,1,0,0.8
ATP250,Hard,Quarterfinals,10590,3,1800,35,1,22,1,0,0.6
ATP250,Hard,Semifinals,10590,3,1600,40,0,22,1,0,0.6
Grand Slam,Hard,2nd Round,10650,3,1163,68,1,22,1,1,0.8
Grand Slam,Hard,3rd Round,10650,3,728,127,1,22,1,1,0.6
Grand Slam,Hard,4th Round,10650,3,950,97,1,22,1,1,0.6
ATP250,Hard,1st Round,9010,3,1268,55,1,22,0,0,0.8
ATP250,Hard,2nd Round,9010,3,1132,68,1,22,0,0,0.8
ATP250,Hard,Quarterfinals,9010,3,1085,76,1,22,0,0,0.8
ATP250,Hard,Semifinals,9010,3,3200,12,0,22,0,0,1.0
ATP500,Hard,1st Round,9010,3,726,125,1,22,1,0,1.0
ATP500,Hard,2nd Round,9010,3,1132,66,1,22,1,0,0.8
ATP500,Hard,Quarterfinals,9010,3,2500,19,1,22,1,0,0.8
ATP500,Hard,Semifinals,9010,3,3945,8,1,22,1,0,0.8
ATP500,Hard,The Final,9010,3,2875,14,1,22,1,0,0.8
Masters 1000,Hard,2nd Round,9240,3,1238,54,1,22,1,0,0.8
Masters 1000,Hard,3rd Round,9240,3,1105,64,1,22,1,0,1.0
Masters 1000,Hard,4th Round,9240,3,2660,16,1,22,1,0,1.0
Masters 1000,Hard,Quarterfinals,9240,3,4060,7,0,22,1,0,1.0
Masters 1000,Hard,2nd Round,8420,3,736,117,1,22,1,0,1.0
Masters 1000,Hard,3rd Round,8420,3,1630,33,1,22,1,0,0.8
Masters 1000,Hard,4th Round,8420,3,2230,22,1,22,1,0,0.8
Masters 1000,Hard,Quarterfinals,8420,3,3195,11,1,22,1,0,0.8
Masters 1000,Hard,Semifinals,8420,3,10910,2,1,22,1,0,0.8
Masters 1000,Hard,The Final,8420,3,7850,4,0,22,1,0,0.8
Masters 1000,Clay,2nd Round,9010,3,1084,65,1,22,1,0,1.0
Masters 1000,Clay,3rd Round,9010,3,1549,36,1,22,1,0,0.8
Masters 1000,Clay,Quarterfinals,9010,3,3760,8,1,22,1,0,0.8
Masters 1000,Clay,Semifinals,9010,3,2620,16,1,22,1,0,0.8
Masters 1000,Clay,The Final,9010,3,14470,1,0,22,1,0,0.8
Masters 1000,Clay,2nd Round,9160,3,1609,33,1,22,1,0,0.8
Masters 1000,Clay,3rd Round,9160,3,2510,17,1,22,1,0,0.8
Masters 1000,Clay,Quarterfinals,9160,3,4580,5,1,22,1,0,0.8
Masters 1000,Clay,Semifinals,9160,3,10060,2,1,22,1,0,0.8
Masters 1000,Clay,The Final,9160,3,14890,1,0,22,1,0,0.8
ATP250,Clay,2nd Round,9670,3,1045,63,1,22,1,0,0.8
ATP250,Clay,Quarterfinals,9670,3,1460,38,1,22,1,0,0.8
ATP250,Clay,Semifinals,9670,3,1470,36,1,22,1,0,0.8
ATP250,Clay,The Final,9670,3,423,179,1,22,1,0,0.8
Masters 1000,Clay,2nd Round,8920,4,1023,65,1,22,1,0,0.8
Masters 1000,Clay,3rd Round,8920,4,1490,36,1,22,1,0,0.8
Masters 1000,Clay,Quarterfinals,8920,4,1181,54,1,22,1,0,1.0
Masters 1000,Clay,Semifinals,8920,4,15360,1,0,22,1,0,1.0
Grand Slam,Clay,2nd Round,8830,4,732,110,1,22,1,1,1.0
Grand Slam,Clay,3rd Round,8830,4,1590,31,0,22,1,1,0.8
ATP250,Grass,1st Round,8020,4,951,66,1,22,1,0,0.8
ATP250,Grass,2nd Round,8020,4,1056,56,1,22,1,0,0.6
ATP250,Grass,Quarterfinals,8020,4,1675,28,1,22,1,0,0.6
ATP250,Grass,Semifinals,8020,4,563,136,1,22,1,0,0.6
ATP250,Grass,The Final,8020,4,1195,41,0,22,1,0,0.8
Grand Slam,Grass,1st Round,7860,4,845,81,1,22,1,1,0.8
Grand Slam,Grass,2nd Round,7860,4,692,106,1,22,1,1,0.8
Grand Slam,Grass,3rd Round,7860,4,1735,25,1,22,1,1,0.8
Grand Slam,Grass,4th Round,7860,4,1162,46,1,22,1,1,0.8
Grand Slam,Grass,Quarterfinals,7860,4,1405,34,0,22,1,1,0.8
Masters 1000,Hard,2nd Round,7380,4,256,225,1,22,1,0,0.8
Masters 1000,Hard,3rd Round,7380,4,850,65,1,22,1,0,0.8
Masters 1000,Hard,Quarterfinals,7380,4,5530,5,0,22,1,0,0.8
Masters 1000,Hard,2nd Round,7150,4,906,54,1,22,1,0,0.8
Masters 1000,Hard,3rd Round,7150,4,1222,35,1,22,1,0,0.6
Masters 1000,Hard,Quarterfinals,7150,4,3320,9,1,22,1,0,0.6
Masters 1000,Hard,Semifinals,7150,4,8665,3,1,22,1,0,0.8
Masters 1000,Hard,The Final,7150,4,11040,1,0,22,1,0,0.8
Grand Slam,Hard,1st Round,7660,4,976,51,1,22,1,1,0.8
Grand Slam,Hard,2nd Round,7660,4,402,155,1,22,1,1,0.8
Grand Slam,Hard,3rd Round,7660,4,197,276,1,22,1,1,0.8
Grand Slam,Hard,4th Round,7660,4,2000,16,1,22,1,1,0.8
Grand Slam,Hard,Quarterfinals,7660,4,3220,10,1,22,1,1,0.8
Grand Slam,Hard,Semifinals,7660,4,12040,1,0,22,1,1,0.8
ATP500,Hard,1st Round,7330,4,1286,27,1,22,1,0,1.0
ATP500,Hard,2nd Round,7330,4,1245,28,1,22,1,0,0.8
ATP500,Hard,Quarterfinals,7330,4,3460,9,1,22,1,0,0.8
ATP500,Hard,Semifinals,7330,4,3020,11,1,22,1,0,0.8
ATP500,Hard,The Final,7330,4,2195,15,1,22,1,0,0.8
Masters 1000,Hard,2nd Round,7740,4,720,66,1,22,1,0,0.8
Masters 1000,Hard,3rd Round,7740,4,545,99,1,22,1,0,1.0
Masters 1000,Hard,Quarterfinals,7740,4,3285,10,1,22,1,0,1.0
Masters 1000,Hard,Semifinals,7740,4,3710,8,0,22,1,0,1.0
Masters 1000,Hard,2nd Round,8300,3,1150,30,1,22,0,0,1.0
Masters 1000,Hard,3rd Round,8300,3,552,93,1,22,0,0,0.8
Masters 1000,Hard,Quarterfinals,8300,3,2935,10,1,22,0,0,0.8
Masters 1000,Hard,Semifinals,8300,3,8845,2,1,22,0,0,0.8
Masters 1000,Hard,The Final,8300,3,2055,16,1,22,0,0,0.8
