dj_odds,opp_odds,dj_win
1.57,2.37,1
1.16,5.0,1
2.62,1.5,0
1.01,26.0,1
1.02,19.0,1
1.02,19.0,1
1.02,19.0,1
1.02,19.0,1
1.16,5.0,1
3.0,1.4,1
1.4,3.0,1
1.01,26.0,1
1.02,19.0,1
1.02,19.0,1
1.01,21.0,1
1.03,15.0,1
1.08,8.0,1
1.22,4.5,1
1.01,23.0,1
1.01,26.0,1
1.03,15.0,1
1.03,15.0,1
1.1,7.0,1
1.4,3.0,1
1.4,3.0,0
1.08,8.0,1
1.22,4.33,1
1.16,5.0,1
2.0,1.8,1
1.11,6.5,1
1.22,4.33,1
1.14,5.5,1
1.4,3.0,0
1.06,10.0,1
1.12,6.0,1
1.05,11.0,0
1.16,5.0,0
1.14,5.5,1
1.53,2.5,1
1.25,4.0,1
1.4,3.0,0
1.2,4.5,1
1.3,3.5,1
1.72,2.1,0
1.08,8.0,1
1.07,9.0,1
1.16,5.0,1
1.2,4.5,1
1.44,2.75,1
1.01,26.0,1
1.03,15.0,1
1.01,21.0,1
1.07,9.0,1
1.44,2.75,0
1.005,34.0,1
1.02,17.0,1
1.02,17.0,1
1.05,11.0,1
1.11,6.5,1
1.06,10.0,1
1.28,3.75,1
1.03,15.0,1
1.06,10.0,1
1.06,10.0,1
1.25,4.0,1
1.05,11.0,1
1.08,8.0,1
1.12,6.0,1
1.25,4.0,1
1.06,10.0,1
1.08,8.0,1
1.11,6.5,1
1.2,4.5,1
1.25,4.0,0
1.33,3.4,1
1.3,3.5,1
1.33,3.4,1
1.22,4.33,1
1.22,4.33,1
1.03,17.0,1
1.03,15.0,1
1.14,5.5,1
1.53,2.5,1
1.14,5.5,1
1.01,29.0,1
1.01,29.0,1
1.2,4.5,1
1.2,4.5,1
1.11,6.5,1
1.05,11.0,1
1.2,4.8,1
1.05,11.0,1
1.06,10.0,1
1.1,7.0,1
1.44,2.75,0
1.02,19.0,1
1.17,5.0,0
1.06,10.0,1
1.08,8.0,0
1.11,6.5,1
1.14,5.5,1
1.17,5.0,1
1.33,3.4,0
1.01,29.0,1
1.05,11.0,1
1.13,6.0,1
1.03,15.0,1
1.08,8.0,1
2.63,1.5,1
1.2,4.8,1
1.01,34.0,1
1.03,15.0,1
1.04,15.0,1
1.05,11.0,1
1.07,9.0,1
1.2,4.5,1
1.53,2.63,0
1.13,6.0,1
1.22,4.33,1
1.29,3.75,1
1.62,2.3,1
1.01,29.0,1
1.01,34.0,1
1.01,26.0,1
1.02,19.0,1
1.13,6.0,1
1.06,10.0,1
1.44,2.88,1
1.05,11.0,1
1.1,7.0,1
1.29,3.75,1
1.36,3.2,1
1.33,3.4,1
1.2,4.5,1
1.62,2.3,0
1.14,5.5,1
1.62,2.3,1
1.53,2.5,1
1.01,34.0,1
1.02,19.0,1
1.05,11.0,1
1.02,19.0,1
1.1,7.0,1
1.5,2.63,0
1.02,21.0,1
1.03,17.0,0
1.14,5.5,1
1.2,4.5,1
1.22,4.33,1
1.4,3.0,0
1.08,8.0,1
1.07,9.0,0
1.08,8.0,1
1.14,5.5,1
1.14,5.5,0
1.02,21.0,1
1.03,17.0,1
1.2,4.5,1
1.14,5.5,1
1.02,21.0,1
1.02,19.0,1
1.13,6.0,1
1.3,3.5,1
1.11,6.5,1
2.1,1.8,0
1.01,29.0,1
1.13,6.0,0
1.2,4.5,1
1.1,7.0,1
1.1,7.0,1
1.1,7.0,1
1.4,3.0,1
3.0,1.4,0
1.04,13.0,1
1.06,10.0,1
1.05,11.0,0
1.04,13.0,1
1.01,23.0,1
1.22,4.33,1
1.25,4.0,1
2.5,1.53,1
1.29,3.75,0
1.1,7.0,0
1.08,8.0,1
1.05,11.0,1
1.3,3.5,1
1.25,4.0,1
1.22,4.33,1
1.22,4.33,0
1.17,5.0,0
1.3,3.5,0
1.25,4.0,1
1.29,3.75,1
1.17,5.0,1
1.36,3.2,1
1.02,21.0,1
1.07,9.0,1
1.05,11.0,1
1.08,8.0,1
1.91,1.91,1
4.33,1.22,0
1.02,15.0,1
1.06,9.0,1
1.04,9.5,1
1.17,5.0,1
1.1,7.0,1
2.8,1.4,0
1.14,5.5,1
1.05,11.0,1
1.08,8.0,1
1.14,5.5,1
1.44,2.75,1
4.0,1.25,0
1.08,8.0,1
1.08,8.0,1
1.17,5.0,1
1.33,3.4,1
1.11,6.5,0
1.2,4.5,1
1.17,5.0,1
1.2,4.5,1
1.36,3.2,1
1.02,17.0,1
1.01,29.0,1
1.06,10.0,1
10.0,1.06,1
3.5,1.3,0
1.1,7.0,1
1.13,6.0,1
1.67,2.2,0
1.44,2.75,0
1.08,8.0,1
1.1,7.0,1
1.44,2.75,0
1.05,11.0,1
1.17,5.0,1
1.13,6.0,1
1.17,5.0,1
1.57,2.38,1
5.0,1.18,0
