dj_pts,dj_rank,opp_pts,opp_rank,dj_win,age,is_outdoor,is_five_sets,5SMA,ATP250,ATP500,Grand Slam,International,International Gold,Masters,Masters 1000,Masters Cup,Carpet,Clay,Grass,Hard,1st Round,2nd Round,3rd Round,4th Round,Quarterfinals,Round Robin,Semifinals,The Final
3200,4,3290,3,1,20,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3200,4,5455,2,1,20,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3200,4,7290,1,1,20,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3700,3,1325,19,0,20,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3670,3,437,95,1,20,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3670,3,850,35,1,20,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3670,3,595,57,1,20,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3670,3,1175,23,1,20,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3670,3,1445,17,1,20,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3670,3,1565,15,1,20,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3670,3,7605,1,0,20,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4145,3,535,70,1,20,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
4145,3,345,126,1,20,0,0,0.8,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4145,3,1465,16,1,20,0,0,0.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4145,3,529,73,1,20,0,0,0.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4145,3,745,41,1,20,0,0,0.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4370,3,905,32,1,20,0,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4370,3,1285,23,1,20,0,0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
4370,3,675,49,1,20,0,0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4370,3,1160,25,0,20,0,0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4470,3,731,39,0,20,0,0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4470,3,2250,6,0,20,0,0,0.8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
4470,3,1830,8,0,20,0,0,0.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
4470,3,5535,2,0,20,0,0,0.4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
4315,3,496,81,1,21,1,1,0.2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
4315,3,541,70,1,21,1,1,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4315,3,588,62,1,21,1,1,0.2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
4315,3,1385,22,1,21,1,1,0.4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
4315,3,2615,5,1,21,1,1,0.6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4315,3,7180,1,1,21,1,1,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4315,3,789,38,1,21,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5165,3,125,296,1,21,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5165,3,1025,30,0,21,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
5010,3,752,45,1,21,1,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5010,3,705,47,1,21,1,0,0.8,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
5010,3,945,34,1,21,1,0,0.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5010,3,2140,6,0,21,1,0,0.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5130,3,794,40,1,21,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
