dj_pts,dj_rank,dj_odds,opp_pts,opp_rank,opp_odds,dj_win,age_c,age_c_sq,is_outdoor,is_five_sets,5SMA,ATP500,Grand Slam,Masters 1000,Masters Cup,Clay,Grass,2nd Round,3rd Round,4th Round,Quarterfinals,Round Robin,Semifinals,The Final
1715,13,1.72,1700,14,2.1,1,-8.177960301163587,66.87903468740762,1,0,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0
1715,13,3.2,4480,2,1.36,0,-8.177960301163587,66.87903468740762,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1
2060,10,1.11,485,82,6.0,1,-8.164271047227928,66.65532173260421,1,0,0.8,0,0,1,0,0,0,1,0,0,0,0,0,0
2060,10,1.11,514,76,6.0,1,-8.158795345653662,66.56594149225985,1,0,0.8,0,0,1,0,0,0,0,1,0,0,0,0,0
2060,10,1.14,481,84,5.0,1,-8.150581793292265,66.43198356914735,1,0,0.8,0,0,1,0,0,0,0,0,1,0,0,0,0
2060,10,4.0,4755,2,1.25,1,-8.147843942505133,66.3873609114176,1,0,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0
2060,10,1.61,1905,12,2.25,1,-8.145106091718002,66.34275324534171,1,0,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0
2060,10,1.61,652,55,2.25,1,-8.139630390143736,66.25358288815147,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1
2540,7,1.19,740,45,4.33,1,-8.093086926762492,65.49805600413396,1,0,1.0,0,0,1,0,1,0,1,0,0,0,0,0,0
2540,7,1.5,1615,16,2.5,0,-8.090349075975361,65.45374817113537,1,0,1.0,0,0,1,0,1,0,0,1,0,0,0,0,0
2595,5,1.3,230,177,3.39,1,-8.060232717316907,64.9673514573059,1,0,0.8,0,0,0,0,1,0,0,0,0,0,0,0,0
2595,5,1.08,164,232,7.0,1,-8.054757015742641,64.8791105826553,1,0,0.8,0,0,0,0,1,0,1,0,0,0,0,0,0
2595,5,1.14,609,62,5.0,1,-8.049281314168379,64.79092967462023,1,0,0.8,0,0,0,0,1,0,0,0,0,1,0,0,0
